path,width,height,category,status,rule
assets/minecraft/textures/block/dripstone_block_n.png,16,16,pbr_map,below_512,512-block-item
assets/minecraft/textures/block/flowering_azalea_leaves.png,16,16,base,below_512,512-block-item
assets/minecraft/textures/block/mossy_cobblestone_s.png,16,16,pbr_map,below_512,512-block-item
assets/minecraft/textures/block/chiseled_stone_bricks.png,16,16,base,below_512,512-block-item
assets/minecraft/textures/block/mud_n.png,16,16,pbr_map,below_512,512-block-item
assets/minecraft/textures/block/crimson_planks_s.png,16,16,pbr_map,below_512,512-block-item
assets/minecraft/textures/block/chain_command_block_conditional.png,16,64,base,below_512,512-block-item
assets/minecraft/textures/block/red_sand_s.png,16,16,pbr_map,below_512,512-block-item
assets/minecraft/textures/block/pointed_dripstone_up_tip_merge_s.png,16,16,pbr_map,below_512,512-block-item
assets/minecraft/textures/block/diamond_ore.png,16,16,base,below_512,512-block-item
assets/minecraft/textures/block/brewing_stand_base.png,16,16,base,below_512,512-block-item
assets/minecraft/textures/block/iron_ore_s.png,16,16,pbr_map,below_512,512-block-item
assets/minecraft/textures/block/enchanting_table_top_n.png,16,16,pbr_map,below_512,512-block-item
assets/minecraft/textures/block/stonecutter_top_n.png,16,16,pbr_map,below_512,512-block-item
assets/minecraft/textures/block/lime_concrete_powder_s.png,16,16,pbr_map,below_512,512-block-item
assets/minecraft/textures/block/vine_n.png,16,16,pbr_map,below_512,512-block-item
assets/minecraft/textures/block/deepslate_lapis_ore_n.png,16,16,pbr_map,below_512,512-block-item
assets/minecraft/textures/block/melon_side.png,16,16,base,below_512,512-block-item
assets/minecraft/textures/block/iron_door_top.png,16,16,base,below_512,512-block-item
assets/minecraft/textures/block/polished_deepslate_n.png,16,16,pbr_map,below_512,512-block-item
assets/minecraft/textures/block/powered_rail_on.png,16,16,base,below_512,512-block-item
assets/minecraft/textures/block/redstone_torch_n.png,16,16,pbr_map,below_512,512-block-item
assets/minecraft/textures/block/red_glazed_terracotta_s.png,16,16,pbr_map,below_512,512-block-item
assets/minecraft/textures/block/gold_ore_n.png,16,16,pbr_map,below_512,512-block-item
assets/minecraft/textures/block/beacon.png,16,16,base,below_512,512-block-item
assets/minecraft/textures/block/mossy_stone_bricks_s.png,16,16,pbr_map,below_512,512-block-item
assets/minecraft/textures/block/hopper_top.png,16,16,base,below_512,512-block-item
assets/minecraft/textures/block/spruce_trapdoor_s.png,16,16,pbr_map,below_512,512-block-item
assets/minecraft/textures/block/exposed_copper.png,16,16,base,below_512,512-block-item
assets/minecraft/textures/block/repeating_command_block_back_s.png,16,16,pbr_map,below_512,512-block-item
assets/minecraft/textures/block/stripped_crimson_stem_top_s.png,16,16,pbr_map,below_512,512-block-item
assets/minecraft/textures/block/bone_block_side.png,16,16,base,below_512,512-block-item
assets/minecraft/textures/block/hay_block_top_n.png,16,16,pbr_map,below_512,512-block-item
assets/minecraft/textures/block/purple_candle.png,16,16,base,below_512,512-block-item
assets/minecraft/textures/block/purple_wool.png,16,16,base,below_512,512-block-item
assets/minecraft/textures/block/pointed_dripstone_down_tip.png,16,16,base,below_512,512-block-item
assets/minecraft/textures/block/tnt_top.png,16,16,base,below_512,512-block-item
assets/minecraft/textures/block/dead_bush.png,16,16,base,below_512,512-block-item
assets/minecraft/textures/block/light_gray_stained_glass.png,16,16,base,below_512,512-block-item
assets/minecraft/textures/block/light_blue_glazed_terracotta_s.png,16,16,pbr_map,below_512,512-block-item
assets/minecraft/textures/block/oak_door_top_n.png,16,16,pbr_map,below_512,512-block-item
assets/minecraft/textures/block/grass_block_top_n.png,16,16,pbr_map,below_512,512-block-item
assets/minecraft/textures/block/crimson_nylium_side_s.png,16,16,pbr_map,below_512,512-block-item
assets/minecraft/textures/block/warped_wart_block.png,16,16,base,below_512,512-block-item
assets/minecraft/textures/block/itemframe_background_n.png,16,16,pbr_map,below_512,512-block-item
assets/minecraft/textures/block/amethyst_cluster_n.png,16,16,pbr_map,below_512,512-block-item
assets/minecraft/textures/block/lectern_top_s.png,16,16,pbr_map,below_512,512-block-item
assets/minecraft/textures/block/glass_n.png,16,16,pbr_map,below_512,512-block-item
assets/minecraft/textures/block/lime_candle_lit_s.png,16,16,pbr_map,below_512,512-block-item
assets/minecraft/textures/block/red_sandstone_bottom_s.png,16,16,pbr_map,below_512,512-block-item
assets/minecraft/textures/block/red_sandstone_n.png,16,16,pbr_map,below_512,512-block-item
assets/minecraft/textures/block/lime_terracotta.png,16,16,base,below_512,512-block-item
assets/minecraft/textures/block/command_block_side.png,16,64,base,below_512,512-block-item
assets/minecraft/textures/block/acacia_leaves_s.png,16,16,pbr_map,below_512,512-block-item
assets/minecraft/textures/block/mangrove_roots_side_n.png,16,16,pbr_map,below_512,512-block-item
assets/minecraft/textures/block/smooth_basalt_s.png,16,16,pbr_map,below_512,512-block-item
